__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_3_repetition_11,DONE,Knapsack,memoized,0.000690;0.020784;0.021652,2.82;293.32;272.48,0.014375,189.54,0.045985,568.62,0.199420
run_4_repetition_11,DONE,Coin Change,normal,0.004179;0.100323;5.681252,6.12;5.35;4.64,1.928585,5.37,5.789703,16.11,39.470646
run_5_repetition_11,DONE,Coin Change,memoized,0.000696;0.000637;0.000923,6.55;5.68;5.31,0.000752,5.85,0.004962,17.54,0.000000
run_6_repetition_11,DONE,Levenshtein Distance,normal,0.009340;1.339831;7.853993,6.75;4.09;2.46,3.067721,4.43,9.206580,13.30,94.246668
run_7_repetition_11,DONE,Levenshtein Distance,memoized,0.001323;0.001335;0.000971,9.70;10.81;7.00,0.001210,9.17,0.007489,27.52,0.000000
run_8_repetition_11,DONE,Factorial,normal,0.002394;0.470039;1.661313,41.23;2120.77;3814.47,0.711248,1992.16,2.137167,5976.47,17.050602
run_9_repetition_11,DONE,Factorial,memoized,0.001522;0.550289;0.332711,52.83;16975.85;41979.58,0.294841,19669.42,0.888119,59008.26,5.449070
run_10_repetition_11,DONE,Matrix Chain Multiplication,normal,0.012182;0.336805;2.355588,4.64;3.10;2.31,0.901525,3.35,2.708109,10.04,19.892207
run_11_repetition_11,DONE,Matrix Chain Multiplication,memoized,0.002095;0.002355;0.001168,6.19;5.53;6.50,0.001873,6.07,0.008775,18.22,0.173875
run_12_repetition_11,DONE,Can I Win,normal,0.003334;0.756924;1.523691,3.27;2.38;1.46,0.761316,2.37,2.287317,7.12,16.121392
run_13_repetition_11,DONE,Can I Win,memoized,0.000839;0.048920;0.060452,6.41;142.80;289.01,0.036737,146.07,0.112352,438.22,0.292526
run_14_repetition_11,DONE,K-equal Sum Partitions,normal,0.001482;0.030375;0.112071,10.26;143.49;291.90,0.047976,148.55,0.147837,445.65,0.303176
run_15_repetition_11,DONE,K-equal Sum Partitions,memoized,0.001389;0.025520;0.173924,10.08;159.39;332.10,0.066944,167.19,0.204462,501.57,0.184868
run_16_repetition_11,DONE,All Possible Full Binary Trees,normal,0.003530;0.669247;2.585685,17.25;19781.12;65674.71,1.086154,28491.03,3.262027,85473.08,32.717244
run_17_repetition_11,DONE,All Possible Full Binary Trees,memoized,0.001351;0.080371;0.261530,5.23;3709.71;9214.40,0.114417,4309.78,0.345406,12929.34,0.618832
run_0_repetition_12,DONE,Fibonacci,normal,0.000814;0.646488;4.467521,3.66;8.51;2.38,1.704941,4.85,5.117101,14.55,50.339591
run_1_repetition_12,DONE,Fibonacci,memoized,0.000717;0.000600;0.000358,4.02;10.20;3.99,0.000558,6.07,0.004847,18.20,0.000000
run_2_repetition_12,DONE,Knapsack,normal,0.000645;1.622726;9.151129,1.92;13.62;1.77,3.591500,5.77,10.778375,17.32,103.055125
run_3_repetition_12,DONE,Knapsack,memoized,0.000735;0.019520;0.023009,2.82;293.32;272.48,0.014421,189.54,0.047026,568.62,0.183755
