__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_7_repetition_6,DONE,Levenshtein Distance,memoized,0.001239;0.000563;0.000580,9.70;4.99;9.38,0.000794,8.03,0.006124,24.08,0.000000
run_8_repetition_6,DONE,Factorial,normal,0.002243;0.519039;1.617327,41.23;2120.77;3814.47,0.712869,1992.16,2.141727,5976.47,17.345790
run_9_repetition_6,DONE,Factorial,memoized,0.002589;0.571600;0.437484,52.83;16975.85;41979.58,0.337224,19669.42,1.015180,59008.26,4.288445
run_10_repetition_6,DONE,Matrix Chain Multiplication,normal,0.011604;0.327935;2.408105,4.56;3.07;2.20,0.915881,3.28,2.750018,9.83,18.491657
run_11_repetition_6,DONE,Matrix Chain Multiplication,memoized,0.001791;0.002012;0.001718,6.25;5.53;6.47,0.001840,6.08,0.009066,18.25,0.124601
run_12_repetition_6,DONE,Can I Win,normal,0.003272;0.591882;1.649076,3.27;2.38;1.46,0.748077,2.37,2.246586,7.12,20.181907
run_13_repetition_6,DONE,Can I Win,memoized,0.001780;0.040115;0.066453,6.41;142.80;289.01,0.036116,146.07,0.112024,438.22,0.343652
run_14_repetition_6,DONE,K-equal Sum Partitions,normal,0.000614;0.023943;0.116198,10.26;143.49;291.90,0.046918,148.55,0.144125,445.65,0.189487
run_15_repetition_6,DONE,K-equal Sum Partitions,memoized,0.001290;0.025529;0.170550,10.08;159.39;332.10,0.065790,167.19,0.200099,501.57,0.358179
run_16_repetition_6,DONE,All Possible Full Binary Trees,normal,0.003494;0.750473;2.447897,17.25;19781.12;65674.71,1.067288,28491.03,3.204314,85473.08,29.069046
run_17_repetition_6,DONE,All Possible Full Binary Trees,memoized,0.001436;0.080082;0.271260,5.23;3709.71;9214.40,0.117593,4309.78,0.356684,12929.34,0.776099
run_0_repetition_7,DONE,Fibonacci,normal,0.000437;0.710661;3.927610,3.66;8.51;2.38,1.546236,4.85,4.642879,14.55,34.271944
run_1_repetition_7,DONE,Fibonacci,memoized,0.000683;0.000594;0.000348,4.02;10.20;3.99,0.000542,6.07,0.003907,18.20,0.000000
run_2_repetition_7,DONE,Knapsack,normal,0.000849;0.230052;0.669178,1.92;12.11;1.69,0.300027,5.24,0.903653,15.72,2.629288
run_3_repetition_7,DONE,Knapsack,memoized,0.000657;0.010869;0.020814,2.82;120.63;264.07,0.010780,129.17,0.035435,387.51,0.089688
run_4_repetition_7,DONE,Coin Change,normal,0.004451;0.099627;5.802278,6.12;5.35;4.64,1.968785,5.37,5.910681,16.11,52.890569
run_5_repetition_7,DONE,Coin Change,memoized,0.000681;0.000962;0.001037,6.55;5.68;5.31,0.000893,5.85,0.006585,17.54,0.000000
run_6_repetition_7,DONE,Levenshtein Distance,normal,0.007681;0.022556;8.292301,6.75;2.17;4.27,2.774179,4.40,8.325018,13.19,79.984143
run_7_repetition_7,DONE,Levenshtein Distance,memoized,0.001358;0.000396;0.001239,9.70;4.99;9.38,0.000998,8.03,0.005115,24.08,0.000000
run_8_repetition_7,DONE,Factorial,normal,0.002172;0.495382;1.770342,41.23;2120.77;3814.47,0.755965,1992.16,2.271046,5976.47,20.051944
run_9_repetition_7,DONE,Factorial,memoized,0.001808;0.603640;0.383510,52.83;16975.85;41979.58,0.329653,19669.42,0.992702,59008.26,8.815378
run_10_repetition_7,DONE,Matrix Chain Multiplication,normal,0.008883;0.286648;2.337843,4.56;3.07;2.20,0.877792,3.28,2.635781,9.83,22.436327
run_11_repetition_7,DONE,Matrix Chain Multiplication,memoized,0.001832;0.001991;0.000758,6.25;5.53;6.47,0.001527,6.08,0.006664,18.25,0.000000
run_12_repetition_7,DONE,Can I Win,normal,0.003374;0.667255;1.586980,3.27;2.38;1.46,0.752537,2.37,2.260914,7.12,22.063773
run_13_repetition_7,DONE,Can I Win,memoized,0.001830;0.040876;0.061650,6.41;142.80;289.01,0.034786,146.07,0.107954,438.22,0.476909
run_14_repetition_7,DONE,K-equal Sum Partitions,normal,0.001110;0.027904;0.111281,10.26;143.49;291.90,0.046765,148.55,0.143122,445.65,0.279701
run_15_repetition_7,DONE,K-equal Sum Partitions,memoized,0.001353;0.025228;0.179663,10.08;159.39;332.10,0.068748,167.19,0.210108,501.57,0.171800
run_16_repetition_7,DONE,All Possible Full Binary Trees,normal,0.003661;0.740136;2.722749,17.25;19781.12;65674.71,1.155515,28491.03,3.469474,85473.08,28.487757
run_17_repetition_7,DONE,All Possible Full Binary Trees,memoized,0.000909;0.079603;0.267675,5.23;3709.71;9214.40,0.116062,4309.78,0.351447,12929.34,0.873386
run_0_repetition_8,DONE,Fibonacci,normal,0.000450;0.676844;4.321232,3.66;8.51;2.38,1.666175,4.85,5.002688,14.55,31.275166
run_1_repetition_8,DONE,Fibonacci,memoized,0.000631;0.000576;0.000378,4.02;10.20;3.99,0.000528,6.07,0.005134,18.20,0.000000
run_2_repetition_8,DONE,Knapsack,normal,0.000581;0.261809;0.577926,1.92;12.11;1.69,0.280105,5.24,0.842517,15.72,2.730645
run_3_repetition_8,DONE,Knapsack,memoized,0.000709;0.013847;0.016127,2.82;120.63;264.07,0.010228,129.17,0.033278,387.51,0.078984
run_4_repetition_8,DONE,Coin Change,normal,0.002220;0.099539;5.959288,6.12;5.35;4.64,2.020349,5.37,6.064976,16.11,48.903311
run_5_repetition_8,DONE,Coin Change,memoized,0.001173;0.000775;0.000960,6.55;5.68;5.31,0.000969,5.85,0.005813,17.54,0.000000
run_6_repetition_8,DONE,Levenshtein Distance,normal,0.010514;0.029127;8.410037,6.75;2.17;4.27,2.816559,4.40,8.452964,13.19,71.125225
run_7_repetition_8,DONE,Levenshtein Distance,memoized,0.001252;0.000493;0.001224,9.70;4.99;9.38,0.000990,8.03,0.006104,24.08,0.000000
