Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-24 12:40:39,0.09604519774011,25.08355399999709,25.08355399999709,0.00000000000000
2024-10-24 12:40:40,0.04979514654901,24.25067100000160,24.25067100000160,0.00000000000000
2024-10-24 12:40:41,0.12751256281407,33.13101800000004,33.13101800000004,0.00000000000000
2024-10-24 12:40:42,0.07694733522548,27.81511399999727,27.81511399999727,0.00000000000000
2024-10-24 12:40:43,0.12562972292191,29.20067000000563,29.20067000000563,0.00000000000000
2024-10-24 12:40:44,0.07214870825457,33.87839199999871,33.87839199999871,0.00000000000000
2024-10-24 12:40:45,0.13232514177694,32.69260399999621,32.69260399999621,0.00000000000000
2024-10-24 12:40:46,0.07421383647799,28.25725200001034,28.25725200001034,0.00000000000000
2024-10-24 12:40:47,0.11703470031546,33.49063699999533,33.49063699999533,0.00000000000000
2024-10-24 12:40:48,0.09836065573770,34.09903399999894,34.09903399999894,0.00000000000000
2024-10-24 12:40:49,0.12972292191436,33.90146399999503,33.90146399999503,0.00000000000000
2024-10-24 12:40:50,0.08023914411580,33.63779199999408,33.63779199999408,0.00000000000000
